"TABLE_NAME","CONSTRAINT_NAME","TABLE_NAME_REF","FKCOLUMNNAME","HASINDEX","WEIGHT"
"ADM021","FK_ADM021_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM022","FK_ADM022_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM022","FK_ADM022_ADM082","ADM082","ADM082_PRODUCT_ID","Y","14336"
"ADM022","FK_ADM022_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM023","FK_ADM023_ADM124","ADM124","ADM124_SERVICE_TYPE_ID","Y","64"
"ADM023","FK_ADM023_ADM243","ADM243","ADM243_SUBGROUP_ID","Y","64"
"ADM023","FK_ADM023_ADM363","ADM363","ADM363_CHARGE_UNIT_ID","Y","64"
"ADM024","FK_ADM024_MPR002","MPR002","MPR002_PRESCRIPT_MEDICATION_ID","Y","64"
"ADM025","FK_ADM025_ADM024","ADM024","ADM024_KIT_ID","Y","192"
"ADM025","FK_ADM025_ADM082","ADM082","ADM082_PRODUCT_ID","Y","14336"
"ADM025","FK_ADM025_ADM094","ADM094","ADM094_USE_UNIT_ID","Y","64"
"ADM026","FK_ADM026_ADM023","ADM023","ADM023_SERVICE_ID","Y","64"
"ADM026","FK_ADM026_ADM024","ADM024","ADM024_KIT_ID","Y","192"
"ADM029","FK_ADM029_ADM043","ADM043","ADM043_CPT_TABLE_ID","Y","64"
"ADM029","FK_ADM029_TSS013","TSS013","TSS013_PROCEDURE_ID","Y","576"
"ADM030","FK_ADM030_SYS011","SYS011","SYS011_STATE_ID","Y","64"
"ADM031","FK_ADM031_ADM043","ADM043","ADM043_CPT_TABLE_ID","Y","64"
"ADM031","FK_ADM031_ADM047","ADM047","ADM047_CPT_TYPE_ID","Y","64"
"ADM031","FK_ADM031_ADM135","ADM135","ADM135_INST_CPT_GROUP_ID","Y","64"
"ADM031","FK_ADM031_ADM150","ADM150","ADM150_PREPARE_ID","Y","832"
"ADM031","FK_ADM031_SYS009","SYS009","SYS009_PROFESSIONAL_ID","Y","9216"
"ADM032","FK_ADM032_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM032","FK_ADM032_ADM029","ADM029","ADM029_CPT_ID","Y","17408"
"ADM032","FK_ADM032_ADM135","ADM135","ADM135_INST_CPT_GROUP_ID","Y","64"
"ADM032","FK_ADM032_ADM137","ADM137","ADM137_HMO_CPT_TABLE_ID","Y","384"
"ADM032","FK_ADM032_ADT006","ADT006","ADT006_BEDROOM_TYPE_ID","Y","64"
"ADM032","FK_ADM032_SYS002","SYS002","SYS002_UNIT_ID","Y","128"
"ADM032","FK_ADM032_SYS008","SYS008","SYS008_PROFESSIONAL_TYPE_ID","Y","64"
"ADM032","FK_ADM032_SYS009","SYS009","SYS009_PROFESSIONAL_ID","Y","9216"
"ADM032","FK_ADM032_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM033","FK_ADM033_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM033","FK_ADM033_ADM031","ADM031","ADM031_INSTITUTION_CPT_ID","Y","1024"
"ADM035","FK_ADM035_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM035","FK_ADM035_ADM031","ADM031","ADM031_INSTITUTION_CPT_ID","Y","1024"
"ADM035","FK_ADM035_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM036","FK_ADM036_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM036","FK_ADM036_ADM031","ADM031","ADM031_INSTITUTION_CPT_ID","Y","1024"
"ADM037","FK_ADM037_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM037","FK_ADM037_ADM031","ADM031","ADM031_INSTITUTION_CPT_ID","Y","1024"
"ADM037","FK_ADM037_ADM163","ADM163","ADM163_HMO_CPT_TABLE_COVER_ID","Y","128"
"ADM037","FK_ADM137_ADM135","ADM135","ADM135_INST_CPT_GROUP_ID","Y","64"
"ADM038","FK_ADM038_ADM031","ADM031","ADM031_INSTITUTION_CPT_ID","Y","1024"
"ADM038","FK_ADM038_ADM082","ADM082","ADM082_PRODUCT_ID","Y","14336"
"ADM039","FK_ADM039_ADM023","ADM023","ADM023_SERVICE_ID","Y","64"
"ADM039","FK_ADM039_ADM031","ADM031","ADM031_INSTITUTION_CPT_ID","Y","1024"
"ADM040","FK_ADM040_ADM024","ADM024","ADM024_KIT_ID","Y","192"
"ADM040","FK_ADM040_ADM031","ADM031","ADM031_INSTITUTION_CPT_ID","Y","1024"
"ADM041","FK_ADM041_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM042","FK_ADM042_ADM029","ADM029","ADM029_CPT_ID","Y","17408"
"ADM042","FK_ADM042_ADM031","ADM031","ADM031_INSTITUTION_CPT_ID","Y","1024"
"ADM042","FK_ADM042_TSS013","TSS013","TSS013_PROCEDURE_ID","Y","576"
"ADM044","FK_ADM044_ADM043","ADM043","ADM043_CPT_TABLE_ID","Y","64"
"ADM045","FK_ADM045_ADM043","ADM043","ADM043_CPT_TABLE_ID","Y","64"
"ADM046","FK_ADM046_ADM043","ADM043","ADM043_CPT_TABLE_ID","Y","64"
"ADM046","FK_ADM046_ADM047","ADM047","ADM047_CPT_TYPE_ID","Y","64"
"ADM048","FK_ADM048_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM048","FK_ADM048_ADM068","ADM068","ADM068_PROTOCOL_ID","Y","3072"
"ADM048","FK_ADM048_ADM070","ADM070","ADM070_CREDIT_ID","Y","2048"
"ADM048","FK_ADM048_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM049","FK_ADM049_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM049","FK_ADM049_ADM048","ADM048","ADM048_GLOSS_PROTOCOL_ID","Y","64"
"ADM049","FK_ADM049_ADM067","ADM067","ADM067_INVOICE_ID","Y","44032"
"ADM049","FK_ADM049_ADM070","ADM070","ADM070_CREDIT_ID","Y","2048"
"ADM049","FK_ADM049_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM052","FK_ADM052_ADM055","ADM055","ADM055_BILL_ID","Y","31744"
"ADM052","FK_ADM052_ADM056","ADM056","ADM056_MEDICAL_ATTENTION_ID","Y","114688"
"ADM052","FK_ADM052_ADM072","ADM072","ADM072_PAYMENT_TYPE_ID","Y","64"
"ADM052","FK_ADM052_ADM084","ADM084","ADM084_CASH_OPERATION_TYPE_ID","Y","64"
"ADM052","FK_ADM052_ADM104","ADM104","ADM104_CREDIT_CARD_ID","Y","64"
"ADM052","FK_ADM052_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM055","FK_ADM055_ADM055","ADM055","ADM055_RELATION_ID","Y","31744"
"ADM055","FK_ADM055_ADM073","ADM073","ADM073_BILL_CANCEL_ID","Y","64"
"ADM055","FK_ADM055_EIR001","EIR001","EIR001_MPI","Y","524288"
"ADM055","FK_ADM055_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM056","FK_ADM056_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM056","FK_ADM056_ADM002","ADM002","ADM002_PLAN_ID_COMPLEMENTARY","N","256"
"ADM056","FK_ADM056_ADM056","ADM056","ADM056_PARENT_ATTENTION_ID","Y","114688"
"ADM056","FK_ADM056_ADM056_2","ADM056","ADM056_RELATED_ATTENTION_ID","Y","114688"
"ADM056","FK_ADM056_ADM284","ADM284","ADM284_CALLED_TICKETS_ID","Y","64"
"ADM056","FK_ADM056_ADM486","ADM486","ADM486_COPARTICIPATION_RULE_ID","N","64"
"ADM056","FK_ADM056_ADT001","ADT001","ADT001_ADMISSION_ID","Y","27648"
"ADM056","FK_ADM056_EIR001","EIR001","EIR001_MPI","Y","524288"
"ADM056","FK_ADM056_EIR004","EIR004","EIR004_PATIENT_PLAN_ID","Y","40960"
"ADM056","FK_ADM056_ER040","ER040","ER040_ADMISSION_ID","Y","90112"
"ADM056","FK_ADM056_SCH003","SCH003","SCH003_LOCK_ID","Y","360448"
"ADM056","FK_ADM056_SYS002","SYS002","SYS002_UNIT_ID","Y","128"
"ADM056","FK_ADM056_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM056","FK_ADM056_SYS056","SYS056","SYS056_ARRIVAL_TYPES_ID","Y","64"
"ADM064","FK_ADM064_ADM065","ADM065","ADM065_PRIVATE_CHECKOUT_ID","Y","3072"
"ADM064","FK_ADM064_ADM072","ADM072","ADM072_PAYMENT_TYPE_ID","Y","64"
"ADM064","FK_ADM064_ADM104","ADM104","ADM104_CREDIT_CARD_ID","Y","64"
"ADM064","FK_ADM064_ADM114","ADM114","ADM114_RECEIPT_PRIVATE_ID","Y","3072"
"ADM065","FK_ADM065_ADM055","ADM055","ADM055_BILL_ID","Y","31744"
"ADM065","FK_ADM065_ADM065","ADM065","ADM065_PARENT_PRIV_CHECKOUT_ID","Y","3072"
"ADM065","FK_ADM065_ADM069","ADM069","ADM069_EXTRA_PAYMENT_ID","Y","64"
"ADM065","FK_ADM065_EIR001","EIR001","EIR001_MPI","Y","524288"
"ADM065","FK_ADM065_SYS001","SYS001","SYS001_INSTITUTION_ID","Y","64"
"ADM066","FK_ADM066_ADM072","ADM072","ADM072_PAYMENT_TYPE_ID","Y","64"
"ADM066","FK_ADM066_ADM084","ADM084","ADM084_CASH_OPERATION_TYPE_ID","Y","64"
"ADM066","FK_ADM066_ADM086","ADM086","ADM086_CASHFLOW_ID","Y","64"
"ADM066","FK_ADM066_ADM104","ADM104","ADM104_CREDIT_CARD_ID","Y","64"
"ADM066","FK_ADM066_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM067","FK_ADM067_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM067","FK_ADM067_ADM002","ADM002","ADM002_PLAN_ID","Y","256"
"ADM067","FK_ADM067_ADM055","ADM055","ADM055_BILL_ID","Y","31744"
"ADM067","FK_ADM067_ADM068","ADM068","ADM068_PROTOCOL_ID","Y","3072"
"ADM067","FK_ADM067_EIR001","EIR001","EIR001_MPI","Y","524288"
"ADM067","FK_ADM067_SYS001","SYS001","SYS001_INSTITUTION_ID","Y","64"
"ADM067","FK_ADM067_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM068","FK_ADM068_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM068","FK_ADM068_SYS001","SYS001","SYS001_INSTITUTION_ID","Y","64"
"ADM068","FK_ADM068_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM068","FK_ADM068_TSS028","TSS028","TSS028_PROTOCOL_STATUS_ID","Y","64"
"ADM070","FK_ADM070_ADM072","ADM072","ADM072_PAYMENT_TYPE_ID","Y","64"
"ADM070","FK_ADM070_ADM084","ADM084","ADM084_CASH_OPERATION_TYPE_ID","Y","64"
"ADM070","FK_ADM070_ADM105","ADM105","ADM105_OPERATION_TYPE_ID","Y","64"
"ADM070","FK_ADM070_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM071","FK_ADM071_ADM072","ADM072","ADM072_PAYMENT_TYPE_ID","Y","64"
"ADM071","FK_ADM071_ADM084","ADM084","ADM084_CASH_OPERATION_TYPE_ID","Y","64"
"ADM071","FK_ADM071_ADM105","ADM105","ADM105_OPERATION_TYPE_ID","Y","64"
"ADM071","FK_ADM071_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM076","FK_ADM076_ADM077","ADM077","ADM077_REPASS_TIMETABLE_ID","Y","64"
"ADM076","FK_ADM076_ADM448","ADM448","ADM448_REPASS_RECEIPT_ID","Y","64"
"ADM076","FK_ADM076_SYS009","SYS009","SYS009_PROFESSIONAL_ID","Y","9216"
"ADM076","FK_ADM076_SYS024","SYS024","SYS024_CREDENTIAL_INST_ID","Y","128"
"ADM078","FK_ADM078_SYS009","SYS009","SYS009_PROFESSIONAL_ID","Y","9216"
"ADM078","FK_ADM078_SYS024","SYS024","SYS024_CREDENTIAL_INST_ID","Y","128"
"ADM079","FK_ADM079_ADM065","ADM065","ADM065_PRIVATE_CHECKOUT_ID","Y","3072"
"ADM079","FK_ADM079_ADM068","ADM068","ADM068_PROTOCOL_ID","Y","3072"
"ADM079","FK_ADM079_ADM076","ADM076","ADM076_REPASS_PAYMENT_DIST_ID","Y","64"
"ADM079","FK_ADM079_ADM077","ADM077","ADM077_REPASS_TIMETABLE_ID","Y","64"
"ADM079","FK_ADM079_ADM173","ADM173","ADM173_EXTRA_REPASS_TYPE_ID","Y","64"
"ADM079","FK_ADM079_ADM389","ADM389","ADM389_MINIMUM_PAYMENT_ID","Y","64"
"ADM079","FK_ADM079_ADM448","ADM448","ADM448_REPASS_RECEIPT_ID","Y","64"
"ADM079","FK_ADM079_EMR031","EMR031","EMR031_PATIENT_CPT_HONOR_ID","Y","650240"
"ADM079","FK_ADM079_SYS001","SYS001","SYS001_INSTITUTION_ID","Y","64"
"ADM079","FK_ADM079_SYS009","SYS009","SYS009_PROFESSIONAL_ID","Y","9216"
"ADM079","FK_ADM079_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM079","FK_ADM079_SYS024","SYS024","SYS024_CREDENTIAL_INST_ID","Y","128"
"ADM082","FK_ADM082_ADM082","ADM082","ADM082_REFERENCE_PRODUCT_ID","Y","14336"
"ADM082","FK_ADM082_ADM083","ADM083","ADM083_PRODUCT_GROUP_ID","Y","64"
"ADM082","FK_ADM082_ADM094","ADM094","ADM094_USE_UNIT_ID","Y","64"
"ADM082","FK_ADM082_ADM094_2","ADM094","ADM094_USE_UNIT_ID_DOSAGE","Y","64"
"ADM082","FK_ADM082_ADM106","ADM106","ADM106_DOSAGE_ID","Y","64"
"ADM082","FK_ADM082_PHA006","PHA006","PHA006_PHARM_GROUP_ID","Y","64"
"ADM082","FK_ADM082_PHM003","PHM003","PHM003_PRODUCT_FORM_ID","Y","64"
"ADM082","FK_ADM082_STO007","STO007","STO007_PRODUCT_SUB_GROUP_ID","Y","64"
"ADM082","FK_ADM082_STO068","STO068","STO068_REASON_INACTIVATION_ID","Y","64"
"ADM082","FK_ADM082_STO070","STO070","STO070_SOLUTION_TYPE_ID","Y","64"
"ADM082","FK_ADM082_SYS010","SYS010","SYS010_USER_INSERT_ID","Y","512"
"ADM082","FK_ADM082_SYS010_2","SYS010","SYS010_USER_UPDATE_ID","Y","512"
"ADM082","FK_ADM082_TSS019","TSS019","TSS019_MEDICAMENT_ID","Y","4096"
"ADM082","FK_ADM082_TSS020","TSS020","TSS020_MATERIAL_ID","Y","11264"
"ADM086","FK_ADM086_ADM085","ADM085","ADM085_CASH_ID","Y","64"
"ADM086","FK_ADM086_SYS010_1","SYS010","SYS010_OPEN_USER_ID","Y","512"
"ADM086","FK_ADM086_SYS010_2","SYS010","SYS010_CLOSE_USER_ID","Y","512"
"ADM087","FK_ADM087_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM089","FK_ADM089_ADM082","ADM082","ADM082_PRODUCT_ID","Y","14336"
"ADM089","FK_ADM089_ADM094","ADM094","ADM094_USE_UNIT_ID","Y","64"
"ADM089","FK_ADM089_PHA012","PHA012","PHA012_INDUSTRY_ID","Y","128"
"ADM089","FK_ADM089_TSS019","TSS019","TSS019_MEDICAMENT_ID","Y","4096"
"ADM089","FK_ADM089_TSS020","TSS020","TSS020_MATERIAL_ID","Y","11264"
"ADM090","FK_ADM090_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM090","FK_ADM090_ADT006","ADT006","ADT006_BEDROOM_TYPE_ID","Y","64"
"ADM091","FK_ADM091_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM091","FK_ADM091_ADT006","ADT006","ADT006_BEDROOM_TYPE_ID","Y","64"
"ADM092","FK_ADM092_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM093","FK_ADM093_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM093","FK_ADM093_ADT006","ADT006","ADT006_BEDROOM_TYPE_ID","Y","64"
"ADM094","FK_ADM094_TSS021","TSS021","TSS021_USE_UNIT_ID","Y","64"
"ADM096","FK_ADM096_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM097","FK_ADM097_ADM096","ADM096","ADM096_TISS_SOURCE_ID","Y","192"
"ADM100","FK_ADM100_ADM100","ADM100","ADM100_PARENT_ID","Y","128"
"ADM100","FK_ADM100_ADM309","ADM309","ADM309_CST_VALUE_EDITION_ID","Y","64"
"ADM101","FK_ADM101_ADM023","ADM023","ADM023_SERVICE_ID","Y","64"
"ADM101","FK_ADM101_ADM082","ADM082","ADM082_PRODUCT_ID","Y","14336"
"ADM101","FK_ADM101_ADM089","ADM089","ADM089_PRODUCT_PRESENTATION_ID","Y","14336"
"ADM101","FK_ADM101_ADM100","ADM100","ADM100_VALUE_TABLE_ID","Y","128"
"ADM101","FK_ADM101_ADM127","ADM127","ADM127_RECEIPT_ENTRANCE_ID","Y","7168"
"ADM101","FK_ADM101_ADM310","ADM310","ADM310_CST_VALUE_RULE_ID","Y","192"
"ADM102","FK_ADM102_ADM089","ADM089","ADM089_PRODUCT_PRESENTATION_ID","Y","14336"
"ADM102","FK_ADM102_ADM100","ADM100","ADM100_VALUE_TABLE_ID","Y","128"
"ADM103","FK_ADM103_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM103","FK_ADM103_ADM100","ADM100","ADM100_VALUE_TABLE_ID","Y","128"
"ADM103","FK_ADM103_ADM363","ADM363","ADM363_CHARGE_UNIT_ID","Y","64"
"ADM103","FK_ADM103_SYS001","SYS001","SYS001_INSTITUTION_ID","Y","64"
"ADM103","FK_ADM103_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM103","FK_ADM103_TSS004","TSS004","TSS004_SERVICE_DOMAIN_ID","Y","576"
"ADM107","FK_ADM107_ADM043","ADM043","ADM043_CPT_TABLE_ID","Y","64"
"ADM108","FK_ADM108_ADM043","ADM043","ADM043_CPT_TABLE_ID","Y","64"
"ADM110","FK_ADM110_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM111","FK_ADM111_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM111","FK_ADM111_SYS003","SYS003","SYS003_UNIT_CATEGORY_ID","Y","64"
"ADM112","FK_ADM112_ADM085","ADM085","ADM085_CASH_ID","Y","64"
"ADM112","FK_ADM112_SYS002","SYS002","SYS002_UNIT_ID","Y","128"
"ADM113","FK_ADM113_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM113","FK_ADM113_ADM056","ADM056","ADM056_MEDICAL_ATTENTION_ID","Y","114688"
"ADM113","FK_ADM113_ADT001","ADT001","ADT001_ADMISSION_ID","Y","27648"
"ADM113","FK_ADM113_ER040","ER040","ER040_ADMISSION_ID","Y","90112"
"ADM113","FK_ADM113_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM114","FK_ADM114_ADM067","ADM067","ADM067_INVOICE_ID","Y","44032"
"ADM114","FK_ADM114_ADM169","ADM169","ADM169_CUSTOMER_ID","Y","4096"
"ADM114","FK_ADM114_ADM183","ADM183","ADM183_CLIENT_GROUP_ID","Y","64"
"ADM114","FK_ADM114_INT026","INT026","INT026_TRANSACT_ACCOUNTING_ID","Y","320"
"ADM114","FK_ADM114_SYS001","SYS001","SYS001_INSTITUTION_ID","Y","64"
"ADM114","FK_ADM114_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM115","FK_ADM115_ADM169","ADM169","ADM169_CUSTOMER_ID","Y","4096"
"ADM115","FK_ADM115_ADM183","ADM183","ADM183_CLIENT_GROUP_ID","Y","64"
"ADM115","FK_ADM115_INT026","INT026","INT026_TRANSACT_ACCOUNTING_ID","Y","320"
"ADM115","FK_ADM115_SYS001","SYS001","SYS001_INSTITUTION_ID","Y","64"
"ADM115","FK_ADM115_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM116","FK_ADM116_ADM068","ADM068","ADM068_PROTOCOL_ID","Y","3072"
"ADM116","FK_ADM116_ADM115","ADM115","ADM115_RECEIPT_INVOICE_ID","Y","3072"
"ADM117","FK_ADM117_ADM082","ADM082","ADM082_PRODUCT_ID","Y","14336"
"ADM118","FK_ADM118_ADM053","ADM053","ADM053_BILL_ATTENTIONS_ID","Y","22528"
"ADM119","FK_ADM119_ADM114","ADM114","ADM114_RECEIPT_PRIVATE_ID","Y","3072"
"ADM119","FK_ADM119_ER042","ER042","ER042_ADMISSION_BILLCHKIN_ID","Y","64"
"ADM120","FK_ADM120_ADM055","ADM055","ADM055_BILL_ID","Y","31744"
"ADM120","FK_ADM120_ADM073","ADM073","ADM073_BILL_CANCEL_ID","Y","64"
"ADM120","FK_ADM120_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM121","FK_ADM121_ADM082","ADM082","ADM082_PRODUCT_ID","Y","14336"
"ADM121","FK_ADM121_SYS002","SYS002","SYS002_UNIT_ID","Y","128"
"ADM122","FK_ADM122_ADM114","ADM114","ADM114_RECEIPT_PRIVATE_ID","Y","3072"
"ADM122","FK_ADM122_ADM115","ADM115","ADM115_RECEIPT_INVOICE_ID","Y","3072"
"ADM122","FK_ADM122_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM123","FK_ADM123_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM123","FK_ADM123_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM125","FK_ADM125_SYS002","SYS002","SYS002_UNIT_ID","Y","128"
"ADM126","FK_ADM126_ADM082","ADM082","ADM082_PRODUCT_ID","Y","14336"
